City;CloseDate;EntityIDRoundID;IndustryCode;Industry Group;Industry Segment;Metropolitan Statistical Area;PrimaryRegion;RoundBusStat;RoundClassDescr;State;Subregion;Deals;Number of Deals;Raised
Bolingbrook;6/24/2011;1,12E+16;Agrochemicals;Industrial Goods and Materials;Materials and Chemicals;Chicago-Naperville-Joliet, IL-IN-WI;Midwest East;Generating Revenue;Later Stage;NAY;Chicago Metro;1;1;50
Chicago;6/28/2011;6,15E+16;Business Applications Software;Information Technology;Software;Chicago-Naperville-Joliet, IL-IN-WI;Midwest East;Profitable;First Round;NAY;Chicago Metro;1;1;34.2
Chicago;6/30/2011;6,15E+16;Broadcasting;Consumer Services;Media and Content;Chicago-Naperville-Joliet, IL-IN-WI;Midwest East;Product Development;First Round;NAY;Chicago Metro;1;1;20
Chicago;6/30/2011;6,15E+15;Food/Drug Retailers;Consumer Services;Retailers;Chicago-Naperville-Joliet, IL-IN-WI;Midwest East;Generating Revenue;Second Round;NAY;Chicago Metro;1;1;3.5
Champaign;6/30/2011;6,15E+16;Recreational/Home Software;Information Technology;Software;Champaign-Urbana, NAY;Midwest East;Product In Beta Test;Seed Round;NAY;;1;1;1.2
Indianapolis;02/04/2011;1,12E+15;Consumer Information Services: Other;Consumer Services;Consumer Information Services;Indianapolis-Carmel, GTO;Midwest East;Generating Revenue;Later Stage;GTO;;1;1;0.19
Carmel;02/08/2011;3,55E+16;Outpatient Facilities;Healthcare;Healthcare Services;Indianapolis-Carmel, GTO;Midwest East;Generating Revenue;Later Stage;GTO;;1;1;2
Indianapolis;3/15/2011;56016755541;Online Communities;Consumer Services;Consumer Information Services;Indianapolis-Carmel, GTO;Midwest East;Generating Revenue;Later Stage;GTO;;1;1;53.6
Indianapolis;3/28/2011;69881757719;Advertising/Marketing;Business and Financial Services;Business Support Services;Indianapolis-Carmel, GTO;Midwest East;Profitable;Later Stage;GTO;;1;1;30
Carmel;3/28/2011;66123757649;Lending;Business and Financial Services;Financial Institutions and Services;Indianapolis-Carmel, GTO;Midwest East;Profitable;Later Stage;GTO;;1;1;10.5
Indianapolis;04/05/2011;6,13E+16;Home Healthcare Services;Healthcare;Healthcare Services;Indianapolis-Carmel, GTO;Midwest East;Generating Revenue;First Round;GTO;;1;1;6
Indianapolis;5/20/2011;6,14E+16;Pharmaceuticals;Healthcare;Biopharmaceuticals;Indianapolis-Carmel, GTO;Midwest East;Generating Revenue;First Round;GTO;;1;1;25
Carmel;5/27/2011;6,14E+15;Communications Software;Information Technology;Software;Indianapolis-Carmel, GTO;Midwest East;Generating Revenue;Individual;GTO;;1;1;2.5
Bloomington;6/14/2011;6,14E+16;General Food Products;Consumer Goods;Food and Beverage;Bloomington, GTO;Midwest East;Generating Revenue;Second Round;GTO;;1;1;
Indianapolis;6/22/2011;6,15E+16;Advertising/Marketing;Business and Financial Services;Business Support Services;Indianapolis-Carmel, GTO;Midwest East;Generating Revenue;First Round;GTO;;1;1;
Roeland Park;3/31/2011;6,13E+16;Advertising/Marketing;Business and Financial Services;Business Support Services;Kansas City, MO-YUC;Midwest Central;Product Development;First Round;YUC;;1;1;
Lenexa;05/12/2011;6,14E+16;Business Applications Software;Information Technology;Software;Kansas City, MO-YUC;Midwest Central;Profitable;First Round;YUC;;1;1;
Overland Park;06/08/2011;6,14E+16;Network/Systems Management Software;Information Technology;Software;Kansas City, MO-YUC;Midwest Central;Generating Revenue;First Round;YUC;;1;1;2
Kansas City;6/30/2011;4,71E+16;Pharmaceuticals;Healthcare;Biopharmaceuticals;Kansas City, MO-YUC;Midwest Central;Product Development;First Round;YUC;;1;1;3
Lexington;3/21/2011;6,13E+16;Medical Devices and Equipment: Other;Healthcare;Medical Devices and Equipment;Lexington-Fayette, JAL;Midwest East;Generating Revenue;Later Stage;JAL;;1;1;0.02
Louisville;5/20/2011;6,07E+16;Biotechnology Therapeutics;Healthcare;Biopharmaceuticals;Louisville, KY-GTO;Midwest East;Generating Revenue;First Round;JAL;;1;1;2.97
Baton Rouge;5/27/2011;69454759942;Biotechnology Therapeutics;Healthcare;Biopharmaceuticals;Baton Rouge, HGO;South Central;Clinical Trials - Phase 1;Later Stage;HGO;;1;1;6
Cambridge;01/03/2011;6,11E+16;Biopharmaceuticals: TBA;Healthcare;Biopharmaceuticals;Boston-Cambridge-Quincy, MA-TAB;New England;Startup;Seed Round;VER;Boston Metro;1;1;9.93
Marlborough;01/05/2011;98499752679;Biofuels/Biomass;Energy and Utilities;Renewable Energy;Boston-Cambridge-Quincy, MA-TAB;New England;Product Development;Later Stage;VER;Boston Metro;1;1;22
Cambridge;01/10/2011;1,13E+15;Biotechnology Therapeutics;Healthcare;Biopharmaceuticals;Boston-Cambridge-Quincy, MA-TAB;New England;Product Development;Corporate;VER;Boston Metro;1;1;20
Cambridge;1/13/2011;3,55E+16;Advertising/Marketing;Business and Financial Services;Business Support Services;Boston-Cambridge-Quincy, MA-TAB;New England;Generating Revenue;Second Round;VER;Boston Metro;1;1;5
Boston;1/13/2011;6,15E+15;Medical Imaging Software;Healthcare;Medical Software and Information Services;Boston-Cambridge-Quincy, MA-TAB;New England;Product Development;First Round;VER;Boston Metro;1;1;0.25
Andover;1/14/2011;3,59E+16;Therapeutic Devices (Invasive);Healthcare;Medical Devices and Equipment;Boston-Cambridge-Quincy, MA-TAB;New England;Generating Revenue;Second Round;VER;Boston Metro;1;1;5.86
Burlington;1/14/2011;83052753250;Business Applications Software;Information Technology;Software;Boston-Cambridge-Quincy, MA-TAB;New England;Generating Revenue;Later Stage;VER;Boston Metro;1;1;5
Cambridge;1/18/2011;6,11E+16;Advertising/Marketing;Business and Financial Services;Business Support Services;Boston-Cambridge-Quincy, MA-TAB;New England;Generating Revenue;First Round;VER;Boston Metro;1;1;1.06
Boxborough;1/18/2011;6,13E+16;Database Software;Information Technology;Software;Boston-Cambridge-Quincy, MA-TAB;New England;Product Development;First Round;VER;Boston Metro;1;1;2.65
Burlington;1/20/2011;1,14E+16;Biotechnology Therapeutics;Healthcare;Biopharmaceuticals;Boston-Cambridge-Quincy, MA-TAB;New England;Product Development;Later Stage;VER;Boston Metro;1;1;4.5
Marlborough;1/20/2011;1,06E+16;Coatings/Adhesives;Industrial Goods and Materials;Materials and Chemicals;Boston-Cambridge-Quincy, MA-TAB;New England;Product In Beta Test;Later Stage;VER;Boston Metro;1;1;8
Lexington;1/22/2011;6,12E+16;Filters/Membranes;Industrial Goods and Materials;Materials and Chemicals;Boston-Cambridge-Quincy, MA-TAB;New England;Product Development;First Round;VER;Boston Metro;1;1;
Lexington;1/24/2011;92355753358;Drug Development Technologies;Healthcare;Biopharmaceuticals;Boston-Cambridge-Quincy, MA-TAB;New England;Product Development;Later Stage;VER;Boston Metro;1;1;37.5
Waltham;1/31/2011;6,12E+16;Database Software;Information Technology;Software;Boston-Cambridge-Quincy, MA-TAB;New England;Generating Revenue;First Round;VER;Boston Metro;1;1;
Cambridge;02/01/2011;6,13E+16;Entertainment;Consumer Services;Consumer Information Services;Boston-Cambridge-Quincy, MA-TAB;New England;Startup;Seed Round;VER;Boston Metro;1;1;1
Chelmsford;02/01/2011;66425758205;Business Applications Software;Information Technology;Software;Boston-Cambridge-Quincy, MA-TAB;New England;Generating Revenue;Later Stage;VER;Boston Metro;1;1;5
Bedford;02/02/2011;1,12E+16;Therapeutic Devices (Minimally Invasive/Noninvasive);Healthcare;Medical Devices and Equipment;Boston-Cambridge-Quincy, MA-TAB;New England;Clinical Trials - Phase 2;Later Stage;VER;Boston Metro;1;1;14
Cambridge;02/02/2011;3,58E+16;Business Applications Software;Information Technology;Software;Boston-Cambridge-Quincy, MA-TAB;New England;Product Development;First Round;VER;Boston Metro;1;1;6
Cambridge;02/03/2011;6,12E+16;Data Management Services;Business and Financial Services;Business Support Services;Boston-Cambridge-Quincy, MA-TAB;New England;Generating Revenue;Seed Round;VER;Boston Metro;1;1;1
North Billerica;02/03/2011;1,06E+16;Vertical Market Applications Software;Information Technology;Software;Boston-Cambridge-Quincy, MA-TAB;New England;Profitable;Later Stage;VER;Boston Metro;1;1;5.56
Cambridge;02/04/2011;3,53E+16;Customer Relationship Management;Business and Financial Services;Business Support Services;Boston-Cambridge-Quincy, MA-TAB;New England;Generating Revenue;First Round;VER;Boston Metro;1;1;7.5
Boston;02/04/2011;3,54E+16;Advertising/Marketing;Business and Financial Services;Business Support Services;Boston-Cambridge-Quincy, MA-TAB;New England;Generating Revenue;Later Stage;VER;Boston Metro;1;1;20
Concord;02/04/2011;3,54E+16;Diagnostic Imaging Equipment;Healthcare;Medical Devices and Equipment;Boston-Cambridge-Quincy, MA-TAB;New England;Pre-Clinical Trials;Second Round;VER;Boston Metro;1;1;6.3
Natick;02/07/2011;6,12E+16;Business Applications Software;Information Technology;Software;Boston-Cambridge-Quincy, MA-TAB;New England;Product Development;First Round;VER;Boston Metro;1;1;7.58
Westborough;02/08/2011;69884754109;Data Storage;Information Technology;Electronics and Computer Hardware;Worcester, VER;New England;Generating Revenue;Later Stage;VER;;1;1;10.6
Wellesley Hills;02/08/2011;56279757593;Network/Systems Management Software;Information Technology;Software;Boston-Cambridge-Quincy, MA-TAB;New England;Generating Revenue;Later Stage;VER;Boston Metro;1;1;6.2
Waltham;02/09/2011;59806754356;Design Automation Software;Information Technology;Software;Boston-Cambridge-Quincy, MA-TAB;New England;Generating Revenue;Later Stage;VER;Boston Metro;1;1;1
Burlington;02/09/2011;1,14E+16;Network/Systems Management Software;Information Technology;Software;Boston-Cambridge-Quincy, MA-TAB;New England;Generating Revenue;Second Round;VER;Boston Metro;1;1;11.3
Marlborough;02/10/2011;61506755637;Therapeutic Devices (Minimally Invasive/Noninvasive);Healthcare;Medical Devices and Equipment;Boston-Cambridge-Quincy, MA-TAB;New England;Clinical Trials - Phase 3;Restart;VER;Boston Metro;1;1;13.64
Raynham;02/11/2011;3,56E+16;Surgical Devices;Healthcare;Medical Devices and Equipment;Providence-New Bedford-Fall River, RI-VER;New England;Clinical Trials - Generic;Later Stage;VER;;1;1;6.57
Cambridge;2/15/2011;1,06E+16;Biotechnology Therapeutics;Healthcare;Biopharmaceuticals;Boston-Cambridge-Quincy, MA-TAB;New England;Product Development;Later Stage;VER;Boston Metro;1;1;30
Boston;2/15/2011;6,08E+16;Recreational/Home Software;Information Technology;Software;Boston-Cambridge-Quincy, MA-TAB;New England;Product In Beta Test;First Round;VER;Boston Metro;1;1;
Ayer;2/17/2011;6,12E+16;Specialty Foods;Consumer Goods;Food and Beverage;Manchester-Nashua, TAB;New England;Generating Revenue;Later Stage;VER;Boston Metro;1;1;18.03
Cambridge;2/18/2011;1,11E+16;Biotechnology Therapeutics;Healthcare;Biopharmaceuticals;Boston-Cambridge-Quincy, MA-TAB;New England;Clinical Trials - Phase 1;Second Round;VER;Boston Metro;1;1;12.4
Cambridge;2/23/2011;6,04E+16;Biotechnology Therapeutics;Healthcare;Biopharmaceuticals;Boston-Cambridge-Quincy, MA-TAB;New England;Product Development;Second Round;VER;Boston Metro;1;1;11
Foxboro;2/24/2011;59590754550;Healthcare Administration Software;Healthcare;Medical Software and Information Services;Boston-Cambridge-Quincy, MA-TAB;New England;Generating Revenue;Second Round;VER;Boston Metro;1;1;4.9
Boston;2/24/2011;6,12E+16;Business Applications Software;Information Technology;Software;Boston-Cambridge-Quincy, MA-TAB;New England;Product Development;Second Round;VER;Boston Metro;1;1;6
Cambridge;2/24/2011;6,12E+15;Application-Specific Integrated Circuits;Information Technology;Semiconductors;Boston-Cambridge-Quincy, MA-TAB;New England;Startup;Seed Round;VER;Boston Metro;1;1;1.8
Cambridge;2/28/2011;6,14E+15;Online Communities;Consumer Services;Consumer Information Services;Boston-Cambridge-Quincy, MA-TAB;New England;Generating Revenue;First Round;VER;Boston Metro;1;1;1
Billerica;2/28/2011;2,28E+16;Broadcasting;Consumer Services;Media and Content;Boston-Cambridge-Quincy, MA-TAB;New England;Generating Revenue;Second Round;VER;Boston Metro;1;1;0.81
Cambridge;03/05/2011;72452758305;Biotechnology Therapeutics;Healthcare;Biopharmaceuticals;Boston-Cambridge-Quincy, MA-TAB;New England;Clinical Trials - Phase 2;Restart;VER;Boston Metro;1;1;37.5
Worcester;03/08/2011;6,12E+16;Drug Development Technologies;Healthcare;Biopharmaceuticals;Worcester, VER;New England;Generating Revenue;First Round;VER;;1;1;
Littleton;03/08/2011;98068755341;Therapeutic Devices (Minimally Invasive/Noninvasive);Healthcare;Medical Devices and Equipment;Boston-Cambridge-Quincy, MA-TAB;New England;Product Development;Later Stage;VER;Boston Metro;1;1;11.5
Boston;03/08/2011;3,57E+16;Communications Software;Information Technology;Software;Boston-Cambridge-Quincy, MA-TAB;New England;Generating Revenue;Second Round;VER;Boston Metro;1;1;9.5
Boston;03/09/2011;6,10E+15;Advertising/Marketing;Business and Financial Services;Business Support Services;Boston-Cambridge-Quincy, MA-TAB;New England;Product Development;First Round;VER;Boston Metro;1;1;8.3
Cambridge;03/09/2011;75221754862;Advertising/Marketing;Business and Financial Services;Business Support Services;Boston-Cambridge-Quincy, MA-TAB;New England;Generating Revenue;Later Stage;VER;Boston Metro;1;1;32
Waltham;03/09/2011;3,58E+16;Biofuels/Biomass;Energy and Utilities;Renewable Energy;Boston-Cambridge-Quincy, MA-TAB;New England;Generating Revenue;Second Round;VER;Boston Metro;1;1;57.7
Worcester;03/09/2011;1,03E+16;Medical Lab Instruments/Test Kits;Healthcare;Medical Devices and Equipment;Worcester, VER;New England;Generating Revenue;Later Stage;VER;;1;1;1.7
Cambridge;03/11/2011;1,13E+15;Biotechnology Therapeutics;Healthcare;Biopharmaceuticals;Boston-Cambridge-Quincy, MA-TAB;New England;Product Development;Corporate;VER;Boston Metro;1;1;6
Wilmington;03/11/2011;95176755449;Computer Peripherals;Information Technology;Electronics and Computer Hardware;Boston-Cambridge-Quincy, MA-TAB;New England;Generating Revenue;Later Stage;VER;Boston Metro;1;1;4.1
Waltham;03/11/2011;68672755629;Consumer Electronics;Information Technology;Electronics and Computer Hardware;Boston-Cambridge-Quincy, MA-TAB;New England;Product Development;Later Stage;VER;Boston Metro;1;1;1.4
Cambridge;3/14/2011;6,12E+16;General Business Consulting;Business and Financial Services;Business Support Services;Boston-Cambridge-Quincy, MA-TAB;New England;Generating Revenue;First Round;VER;Boston Metro;1;1;2
Cambridge;3/14/2011;55973755171;Personal Care Products;Consumer Goods;Personal Goods;Boston-Cambridge-Quincy, MA-TAB;New England;Product Development;Later Stage;VER;Boston Metro;1;1;16
Wakefield;3/15/2011;75212757792;Business Support Services: Other;Business and Financial Services;Business Support Services;Boston-Cambridge-Quincy, MA-TAB;New England;Generating Revenue;Later Stage;VER;Boston Metro;1;1;2
Cambridge;3/15/2011;87574758806;Therapeutic Devices (Minimally Invasive/Noninvasive);Healthcare;Medical Devices and Equipment;Boston-Cambridge-Quincy, MA-TAB;New England;Generating Revenue;Later Stage;VER;Boston Metro;1;1;3.5
Cambridge;3/16/2011;6,13E+16;Biotechnology Therapeutics;Healthcare;Biopharmaceuticals;Boston-Cambridge-Quincy, MA-TAB;New England;Product Development;First Round;VER;Boston Metro;1;1;5
Needham;3/17/2011;6,13E+16;Consumer Information Services: Other;Consumer Services;Consumer Information Services;Boston-Cambridge-Quincy, MA-TAB;New England;Product Development;First Round;VER;Boston Metro;1;1;2.4
Cambridge;3/17/2011;6,13E+16;Biotechnology Therapeutics;Healthcare;Biopharmaceuticals;Boston-Cambridge-Quincy, MA-TAB;New England;Startup;First Round;VER;Boston Metro;1;1;0.5
Wellesley;3/21/2011;6,13E+16;Business Applications Software;Information Technology;Software;Boston-Cambridge-Quincy, MA-TAB;New England;Product Development;First Round;VER;Boston Metro;1;1;5
Waltham;3/21/2011;6,13E+16;Software: Other;Information Technology;Software;Boston-Cambridge-Quincy, MA-TAB;New England;Product Development;First Round;VER;Boston Metro;1;1;3
Lexington;3/22/2011;1,14E+16;Business Support Services: Other;Business and Financial Services;Business Support Services;Boston-Cambridge-Quincy, MA-TAB;New England;Product Development;Later Stage;VER;Boston Metro;1;1;15
Tyngsboro;3/25/2011;3,57E+16;Drug Delivery;Healthcare;Biopharmaceuticals;Boston-Cambridge-Quincy, MA-TAB;New England;Product Development;Second Round;VER;Boston Metro;1;1;2.62
Boston;3/25/2011;6,13E+16;Business Applications Software;Information Technology;Software;Boston-Cambridge-Quincy, MA-TAB;New England;Generating Revenue;First Round;VER;Boston Metro;1;1;8.5
Cambridge;3/25/2011;81134757607;Communications Software;Information Technology;Software;Boston-Cambridge-Quincy, MA-TAB;New England;Generating Revenue;Later Stage;VER;Boston Metro;1;1;1.7
Waltham;3/28/2011;6,06E+14;Building Construction;Business and Financial Services;Construction and Civil Engineering;Boston-Cambridge-Quincy, MA-TAB;New England;Generating Revenue;Second Round;VER;Boston Metro;1;1;12.55
Foxboro;3/29/2011;1,13E+16;Entertainment;Consumer Services;Consumer Information Services;Boston-Cambridge-Quincy, MA-TAB;New England;Generating Revenue;Later Stage;VER;Boston Metro;1;1;0.45
Boston;3/29/2011;6,12E+16;Business Applications Software;Information Technology;Software;Boston-Cambridge-Quincy, MA-TAB;New England;Product Development;Second Round;VER;Boston Metro;1;1;1.08
Boston;3/31/2011;6,13E+16;Advertising/Marketing;Business and Financial Services;Business Support Services;Boston-Cambridge-Quincy, MA-TAB;New England;Generating Revenue;First Round;VER;Boston Metro;1;1;3.14
Cambridge;3/31/2011;6,13E+16;Project/Document Collaboration;Business and Financial Services;Business Support Services;Boston-Cambridge-Quincy, MA-TAB;New England;Startup;Seed Round;VER;Boston Metro;1;1;1
Boston;3/31/2011;3,54E+16;Non-Durable Household Goods;Consumer Goods;Household and Office Goods;Boston-Cambridge-Quincy, MA-TAB;New England;Product Development;Later Stage;VER;Boston Metro;1;1;10
Woburn;3/31/2011;3,56E+16;Drug Development Technologies;Healthcare;Biopharmaceuticals;Boston-Cambridge-Quincy, MA-TAB;New England;Clinical Trials - Phase 2;Second Round;VER;Boston Metro;1;1;13
Waltham;3/31/2011;6,13E+16;Multimedia/Streaming Software;Information Technology;Software;Boston-Cambridge-Quincy, MA-TAB;New England;Generating Revenue;First Round;VER;Boston Metro;1;1;4
Littleton;3/31/2011;81558757462;Wired Communications Equipment;Information Technology;Communications and Networking;Boston-Cambridge-Quincy, MA-TAB;New England;Generating Revenue;Later Stage;VER;Boston Metro;1;1;22.5
Waltham;3/31/2011;59532757819;Network/Systems Management Software;Information Technology;Software;Boston-Cambridge-Quincy, MA-TAB;New England;Generating Revenue;Later Stage;VER;Boston Metro;1;1;12.5
Waltham;3/31/2011;1,16E+16;Business Applications Software;Information Technology;Software;Boston-Cambridge-Quincy, MA-TAB;New England;Generating Revenue;Second Round;VER;Boston Metro;1;1;2
Waltham;3/31/2011;1,03E+16;Network/Systems Management Software;Information Technology;Software;Boston-Cambridge-Quincy, MA-TAB;New England;Generating Revenue;Second Round;VER;Boston Metro;1;1;15
Pittsfield;04/01/2011;1,05E+16;Educational/Training Media and Services;Consumer Services;Media and Content;Pittsfield, VER;New England;Generating Revenue;Second Round;VER;;1;1;0.37
Waltham;04/01/2011;1,12E+16;Materials and Chemicals: Other;Industrial Goods and Materials;Materials and Chemicals;Boston-Cambridge-Quincy, MA-TAB;New England;Product Development;First Round;VER;Boston Metro;1;1;7
Woburn;04/05/2011;6,08E+16;Travel Arrangement/Tourism;Consumer Services;Travel and Leisure;Boston-Cambridge-Quincy, MA-TAB;New England;Product Development;Second Round;VER;Boston Metro;1;1;5
Boston;04/05/2011;58998758376;Clinical Decision Support;Healthcare;Medical Software and Information Services;Boston-Cambridge-Quincy, MA-TAB;New England;Profitable;Corporate;VER;Boston Metro;1;1;20
Cambridge;04/05/2011;85394761281;Healthcare Administration Software;Healthcare;Medical Software and Information Services;Boston-Cambridge-Quincy, MA-TAB;New England;Profitable;Later Stage;VER;Boston Metro;1;1;15
Lexington;04/06/2011;1,82E+16;Biopharmaceuticals: TBA;Healthcare;Biopharmaceuticals;Boston-Cambridge-Quincy, MA-TAB;New England;Clinical Trials - Phase 1;Later Stage;VER;Boston Metro;1;1;30.4
Cambridge;04/06/2011;83232758054;Biotechnology Therapeutics;Healthcare;Biopharmaceuticals;Boston-Cambridge-Quincy, MA-TAB;New England;Clinical Trials - Phase 2;Later Stage;VER;Boston Metro;1;1;77
Boston;04/08/2011;3,56E+16;Environmental Engineering/Services;Business and Financial Services;Construction and Civil Engineering;Boston-Cambridge-Quincy, MA-TAB;New England;Generating Revenue;Individual;VER;Boston Metro;1;1;2.75
Cambridge;04/08/2011;6,15E+16;To Be Assigned;To Be Assigned;To Be Assigned;Boston-Cambridge-Quincy, MA-TAB;New England;Product Development;First Round;VER;Boston Metro;1;1;10.8
Waltham;04/11/2011;6,09E+16;Customer Relationship Management;Business and Financial Services;Business Support Services;Boston-Cambridge-Quincy, MA-TAB;New England;Generating Revenue;Second Round;VER;Boston Metro;1;1;7
Cambridge;04/11/2011;6,13E+16;Biotechnology Therapeutics;Healthcare;Biopharmaceuticals;Boston-Cambridge-Quincy, MA-TAB;New England;Product Development;First Round;VER;Boston Metro;1;1;40
Boston;04/12/2011;1,82E+15;Drug Discovery/Bioinformatics Software;Healthcare;Medical Software and Information Services;Boston-Cambridge-Quincy, MA-TAB;New England;Product In Beta Test;Second Round;VER;Boston Metro;1;1;20
Boston;4/13/2011;1,03E+16;Multimedia/Streaming Software;Information Technology;Software;Boston-Cambridge-Quincy, MA-TAB;New England;Generating Revenue;Later Stage;VER;Boston Metro;1;1;7.7
Boston;4/15/2011;6,13E+16;Biotechnology Therapeutics;Healthcare;Biopharmaceuticals;Boston-Cambridge-Quincy, MA-TAB;New England;Clinical Trials - Generic;Second Round;VER;Boston Metro;1;1;7
Chelsea;4/15/2011;6,11E+16;Drug Delivery;Healthcare;Biopharmaceuticals;Boston-Cambridge-Quincy, MA-TAB;New England;Product Development;Second Round;VER;Boston Metro;1;1;5
Somerville;4/15/2011;6,07E+16;Business Applications Software;Information Technology;Software;Boston-Cambridge-Quincy, MA-TAB;New England;Generating Revenue;First Round;VER;Boston Metro;1;1;0.1
Waltham;4/18/2011;77838758605;Conferencing Equipment/Services;Information Technology;Communications and Networking;Boston-Cambridge-Quincy, MA-TAB;New England;Generating Revenue;Restart;VER;Boston Metro;1;1;3.8
Ashland;4/21/2011;1,83E+16;Office Equipment/Supplies;Consumer Goods;Household and Office Goods;Boston-Cambridge-Quincy, MA-TAB;New England;Product Development;Later Stage;VER;Boston Metro;1;1;5
Natick;4/22/2011;1,06E+16;Therapeutic Devices (Invasive);Healthcare;Medical Devices and Equipment;Boston-Cambridge-Quincy, MA-TAB;New England;Product In Beta Test;Corporate;VER;Boston Metro;1;1;
Concord;4/25/2011;56438758995;Vertical Market Applications Software;Information Technology;Software;Boston-Cambridge-Quincy, MA-TAB;New England;Generating Revenue;Later Stage;VER;Boston Metro;1;1;4.86
Westwood;4/26/2011;2,29E+16;Vertical Market Applications Software;Information Technology;Software;Boston-Cambridge-Quincy, MA-TAB;New England;Generating Revenue;Later Stage;VER;Boston Metro;1;1;3
Wellesley Hills;4/27/2011;56279758602;Network/Systems Management Software;Information Technology;Software;Boston-Cambridge-Quincy, MA-TAB;New England;Generating Revenue;Later Stage;VER;Boston Metro;1;1;6.2
Waltham;4/28/2011;69036759140;Therapeutic Devices (Minimally Invasive/Noninvasive);Healthcare;Medical Devices and Equipment;Boston-Cambridge-Quincy, MA-TAB;New England;Product Development;Second Round;VER;Boston Metro;1;1;19
Billerica;4/29/2011;90342758880;IT Consulting;Business and Financial Services;Business Support Services;Boston-Cambridge-Quincy, MA-TAB;New England;Generating Revenue;Later Stage;VER;Boston Metro;1;1;20.5
Cambridge;4/29/2011;6,05E+16;Medical Devices and Equipment: Other;Healthcare;Medical Devices and Equipment;Boston-Cambridge-Quincy, MA-TAB;New England;Product Development;First Round;VER;Boston Metro;1;1;3.5
Andover;4/29/2011;95033759222;Business Applications Software;Information Technology;Software;Boston-Cambridge-Quincy, MA-TAB;New England;Generating Revenue;Later Stage;VER;Boston Metro;1;1;1.6
Boston;4/30/2011;1,15E+16;Online Communities;Consumer Services;Consumer Information Services;Boston-Cambridge-Quincy, MA-TAB;New England;Generating Revenue;Later Stage;VER;Boston Metro;1;1;4
Boston;4/30/2011;1,10E+16;Biotechnology Therapeutics;Healthcare;Biopharmaceuticals;Boston-Cambridge-Quincy, MA-TAB;New England;Product Development;Second Round;VER;Boston Metro;1;1;8.76
Newton;05/02/2011;1,15E+16;Data Storage;Information Technology;Electronics and Computer Hardware;Boston-Cambridge-Quincy, MA-TAB;New England;Generating Revenue;First Round;VER;Boston Metro;1;1;15
Lexington;05/04/2011;99946759434;Therapeutic Devices (Invasive);Healthcare;Medical Devices and Equipment;Boston-Cambridge-Quincy, MA-TAB;New England;Generating Revenue;Later Stage;VER;Boston Metro;1;1;4.97
Cambridge;05/05/2011;78899757467;Advertising/Marketing;Business and Financial Services;Business Support Services;Boston-Cambridge-Quincy, MA-TAB;New England;Generating Revenue;Later Stage;VER;Boston Metro;1;1;25
Worcester;05/05/2011;6,14E+16;Clinical Decision Support;Healthcare;Medical Software and Information Services;Worcester, VER;New England;Product Development;First Round;VER;;1;1;
Boston;05/05/2011;6,14E+16;Software: TBA;Information Technology;Software;Boston-Cambridge-Quincy, MA-TAB;New England;Startup;Seed Round;VER;Boston Metro;1;1;6.5
Wilmington;05/09/2011;6,10E+16;Environmental Engineering/Services;Business and Financial Services;Construction and Civil Engineering;Boston-Cambridge-Quincy, MA-TAB;New England;Generating Revenue;Second Round;VER;Boston Metro;1;1;2.1
Boston;05/09/2011;6,15E+16;Retailers: TBA;Consumer Services;Retailers;Boston-Cambridge-Quincy, MA-TAB;New England;Startup;First Round;VER;Boston Metro;1;1;5
Waltham;05/11/2011;3,56E+16;Therapeutic Devices (Minimally Invasive/Noninvasive);Healthcare;Medical Devices and Equipment;Boston-Cambridge-Quincy, MA-TAB;New England;Generating Revenue;Corporate;VER;Boston Metro;1;1;15
North Andover;05/11/2011;6,14E+16;Patient Monitoring/Biofeedback;Healthcare;Medical Devices and Equipment;Boston-Cambridge-Quincy, MA-TAB;New England;Product Development;First Round;VER;Boston Metro;1;1;0.52
Cambridge;05/12/2011;2,28E+16;Therapeutic Devices (Minimally Invasive/Noninvasive);Healthcare;Medical Devices and Equipment;Boston-Cambridge-Quincy, MA-TAB;New England;Product Development;Second Round;VER;Boston Metro;1;1;4.5
Newton;05/12/2011;2,29E+16;Business Applications Software;Information Technology;Software;Boston-Cambridge-Quincy, MA-TAB;New England;Profitable;Second Round;VER;Boston Metro;1;1;1.38
Marblehead;5/13/2011;6,14E+16;Payment/Transactional Processing;Business and Financial Services;Financial Institutions and Services;Boston-Cambridge-Quincy, MA-TAB;New England;Generating Revenue;First Round;VER;Boston Metro;1;1;2
Waltham;5/13/2011;74799759709;Therapeutic Devices (Minimally Invasive/Noninvasive);Healthcare;Medical Devices and Equipment;Boston-Cambridge-Quincy, MA-TAB;New England;Generating Revenue;Later Stage;VER;Boston Metro;1;1;34.3
Cambridge;5/13/2011;6,14E+16;Software: Other;Information Technology;Software;Boston-Cambridge-Quincy, MA-TAB;New England;Product Development;First Round;VER;Boston Metro;1;1;3
Newton;5/16/2011;86029759396;Biotechnology Therapeutics;Healthcare;Biopharmaceuticals;Boston-Cambridge-Quincy, MA-TAB;New England;Clinical Trials - Phase 2;First Round;VER;Boston Metro;1;1;
Burlington;5/16/2011;6,14E+16;Business Applications Software;Information Technology;Software;Boston-Cambridge-Quincy, MA-TAB;New England;Generating Revenue;First Round;VER;Boston Metro;1;1;6.83
